,name,api_name,physical_processor,arch,region,price_per_hour_reserved,price_per_hour_ondemand,vcpu,memory_gib,storage_gib
2059,G4DN Metal,g4dn.metal,Intel Xeon Family,64-bit,eu-west-2,0.0,0.0,96,384.0,0
2060,C4 High-CPU Quadruple Extra Large,c4.4xlarge,Intel Xeon E5-2666 v3 (Haswell),64-bit,eu-west-2,0.95,0.655,16,30.0,0
2061,T3 Small,t3.small,Intel Skylake E5 2686 v5 (2.5 GHz),64-bit,eu-west-2,0.0236,0.0167,2                                                   for a                 4h 48m                 burst,2.0,0
2062,F1 16xlarge,f1.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,0.0,0.0,64,976.0,3760
2063,T3 Micro,t3.micro,Intel Skylake E5 2686 v5 (2.5 GHz),64-bit,eu-west-2,0.0118,0.0083,2                                                   for a                 2h 24m                 burst,1.0,0
2064,T3 Large,t3.large,Intel Skylake E5 2686 v5 (2.5 GHz),64-bit,eu-west-2,0.0944,0.0667,2                                                   for a                 7h 12m                 burst,8.0,0
2065,T3A Micro,t3a.micro,AMD EPYC 7571,64-bit,eu-west-2,0.0106,0.0075,2                                                   for a                 2h 24m                 burst,1.0,0
2066,G3S Extra Large,g3s.xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,0.94,0.716,4,30.5,0
2067,A1 Quadruple Extra Large,a1.4xlarge,AWS Graviton Processor,64-bit,eu-west-2,0.0,0.0,16,32.0,0
2068,F1 Double Extra Large,f1.2xlarge,Intel Xeon E5-2686 v4 (Broadwell),64-bit,eu-west-2,0.0,0.0,8,122.0,470
2069,A1 Medium,a1.medium,AWS Graviton Processor,64-bit,eu-west-2,0.0,0.0,1,2.0,0
2070,T2 Medium,t2.medium,Intel Xeon Family,32/64-bit,eu-west-2,0.052,0.0363,2                                                   for a                 4h 48m                 burst,4.0,0
2071,A1 Large,a1.large,AWS Graviton Processor,64-bit,eu-west-2,0.0,0.0,2,4.0,0
2072,High Storage Eight Extra Large,hs1.8xlarge,Intel Xeon E5-2650,64-bit,eu-west-2,0.0,0.0,17,117.0,48000
2073,U-18TB1 Metal,u-18tb1.metal,Intel Xeon Platinum 8280L (Cascade Lake),64-bit,eu-west-2,0.0,0.0,448,18432.0,0
2074,T3A Extra Large,t3a.xlarge,AMD EPYC 7571,64-bit,eu-west-2,0.1699,0.12,4                                                   for a                 9h 36m                 burst,16.0,0
2075,T1 Micro,t1.micro,Variable,32/64-bit,eu-west-2,0.0,0.0,1,0.613,0
2076,R5DN Metal,r5dn.metal,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,eu-west-2,0.0,0.0,96,768.0,0
2077,R5N Metal,r5n.metal,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,eu-west-2,0.0,0.0,96,768.0,0
2078,U-6TB1 Metal,u-6tb1.metal,Intel Xeon Scalable (Skylake) processors,64-bit,eu-west-2,0.0,0.0,448,6144.0,0
2079,U-24TB1 Metal,u-24tb1.metal,Intel Xeon Platinum 8280L (Cascade Lake),64-bit,eu-west-2,0.0,0.0,448,24576.0,0
2080,T3 Nano,t3.nano,Intel Skylake E5 2686 v5 (2.5 GHz),64-bit,eu-west-2,0.0059,0.0042,2                                                   for a                 1h 12m                 burst,0.5,0
2081,T2 Nano,t2.nano,Intel Xeon Family,32/64-bit,eu-west-2,0.0066,0.0045,1                                                   for a                 1h 12m                 burst,0.5,0
2082,T3A Large,t3a.large,AMD EPYC 7571,64-bit,eu-west-2,0.085,0.06,2                                                   for a                 7h 12m                 burst,8.0,0
2083,U-9TB1 Metal,u-9tb1.metal,Intel Xeon Scalable (Skylake) processors,64-bit,eu-west-2,0.0,0.0,448,9216.0,0
2084,U-12TB1 Metal,u-12tb1.metal,Intel Xeon Scalable (Skylake) processors,64-bit,eu-west-2,0.0,0.0,448,12288.0,0
2085,C5 High-CPU Extra Large,c5d.xlarge,Intel Xeon Platinum 8124M,64-bit,eu-west-2,0.23,0.158,4,8.0,100
2086,C5 High-CPU Metal,c5.metal,Intel Xeon Platinum 8275L,64-bit,eu-west-2,4.848,3.334,96,192.0,0
2087,C5 High-CPU 9xlarge,c5.9xlarge,Intel Xeon Platinum 8124M,64-bit,eu-west-2,1.818,1.25,36,72.0,0
2088,M5 General Purpose 24xlarge,m5.24xlarge,Intel Xeon Platinum 8175,64-bit,eu-west-2,5.328,3.73,96,384.0,0
2089,M5 General Purpose 12xlarge,m5d.12xlarge,Intel Xeon Platinum 8175,64-bit,eu-west-2,3.144,2.198,48,192.0,1800
2090,C5 High-CPU Large,c5.large,Intel Xeon Platinum 8124M,64-bit,eu-west-2,0.101,0.069,2,4.0,0
2091,C5N Large,c5n.large,Intel Xeon Platinum 8124M,64-bit,eu-west-2,0.0,0.0,2,5.25,0
2092,C5 High-CPU 24xlarge,c5.24xlarge,Intel Xeon Platinum 8275L,64-bit,eu-west-2,4.848,3.334,96,192.0,0
2093,M5 General Purpose Double Extra Large,m5.2xlarge,Intel Xeon Platinum 8175,64-bit,eu-west-2,0.444,0.311,8,32.0,0
2094,C5 High-CPU 18xlarge,c5.18xlarge,Intel Xeon Platinum 8124M,64-bit,eu-west-2,3.636,2.501,72,144.0,0
